Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,Prev_Sales,FR%,SR%,TR%,SG%
SHIVAMILLS.NS,2020-08-15,23.2,-2.8,9.33,-1.9899999999999998,131.16,-11.66,,,,,,,,
SHIVAMILLS.NS,2020-11-15,23.5,0.44,36.64,-2.01,135.44,-11.69,-1.9899999999999998,-11.66,23.2,131.16,1.01,0.26,1.27,3.26
SHIVAMILLS.NS,2021-02-15,37.4,6.38,45.64,4.140000000000001,137.76999999999998,9.03,-2.01,-11.69,23.5,135.44,-305.97,365.02,59.049999999999955,1.72
SHIVAMILLS.NS,2021-05-16,55.95,5.89,47.34,9.91,138.95000000000002,5.65,4.140000000000001,9.03,37.4,137.76999999999998,139.37,-89.56,49.81,0.86
SHIVAMILLS.NS,2021-08-15,90.6,4.47,36.21,17.18,165.82999999999998,5.27,9.91,5.65,55.95,138.95000000000002,73.36,-11.67,61.69,19.35
SHIVAMILLS.NS,2021-11-15,120.2,5.5,53.67,22.24,182.86,5.4,17.18,5.27,90.6,165.82999999999998,29.45,3.19,32.64,10.27
RSWM.NS,2020-08-15,71.95,-28.07,216.0,-29.8,2286.0,-2.41,,,,,,,,
RSWM.NS,2020-11-15,90.6,-6.37,554.0,-36.26,2143.0,-2.5,-29.8,-2.41,71.95,2286.0,21.68,4.54,26.22,-6.26
RSWM.NS,2021-02-15,170.2,12.98,721.0,-23.650000000000002,2103.0,-7.2,-36.26,-2.5,90.6,2143.0,-34.78,122.69,87.91,-1.87
RSWM.NS,2021-05-16,223.8,30.31,836.0,8.850000000000001,2327.0,25.29,-23.650000000000002,-7.2,170.2,2103.0,-137.42,168.94,31.52000000000001,10.65
RSWM.NS,2021-08-15,340.4,15.67,742.0,52.589999999999996,2853.0,6.47,8.850000000000001,25.29,223.8,2327.0,494.24,-442.24,52.0,22.6
RSWM.NS,2021-11-15,462.05,19.0,953.0,77.96000000000001,3252.0,5.93,52.589999999999996,6.47,340.4,2853.0,48.24,-12.37,35.870000000000005,13.99
SUPER.BO,2020-08-15,254.85,-16.08,30.0,0.03000000000000469,234.0,8495.0,,,,,,,,
SUPER.BO,2020-11-15,242.15,7.06,66.0,-10.329999999999998,226.0,-23.44,0.03000000000000469,8495.0,254.85,234.0,-34533.33,34528.34,-4.990000000005239,-3.42
SUPER.BO,2021-02-15,439.0,13.8,79.0,5.330000000000001,239.0,82.36,-10.329999999999998,-23.44,242.15,226.0,-151.6,232.88,81.28,5.75
SUPER.BO,2021-05-16,597.8,23.86,93.0,28.64,268.0,20.87,5.330000000000001,82.36,439.0,239.0,437.34,-401.16,36.17999999999995,12.13
SUPER.BO,2021-08-15,691.95,20.77,73.0,65.49,311.0,10.57,28.64,20.87,597.8,268.0,128.67,-112.84,15.829999999999984,16.04
SUPER.BO,2021-11-15,883.25,50.3,110.0,108.72999999999999,355.0,8.12,65.49,10.57,691.95,311.0,66.03,-38.5,27.53,14.15
ANSALBU.BO,2020-08-15,28.0,-4.46,1.0,-21.490000000000002,25.0,-1.3,,,,,,,,
ANSALBU.BO,2020-11-15,34.65,2.29,21.0,-13.760000000000002,35.0,-2.52,-21.490000000000002,-1.3,28.0,25.0,-35.97,59.95,23.980000000000004,40.0
ANSALBU.BO,2021-02-15,47.7,2.75,15.0,-1.3699999999999999,47.0,-34.82,-13.760000000000002,-2.52,34.65,35.0,-90.04,127.71,37.66999999999999,34.29
