Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
DEEPAKNTR.NS,2020-08-15,585.7,7.25,674.0,42.400000000000006,3853.0,13.81,,,,,,,,,,,
DEEPAKNTR.NS,2020-11-15,822.5,12.48,987.0,43.85,3837.0,18.76,7.25,42.400000000000006,674.0,13.81,585.7,3.42,37.06,40.480000000000004,46.44,72.14,40.480000000000004
DEEPAKNTR.NS,2021-02-15,1110.65,15.88,1235.0,48.24,3952.0,23.02,12.48,43.85,987.0,18.76,822.5,10.01,24.99,35.0,25.13,27.24,35.0
DEEPAKNTR.NS,2021-05-16,1728.1,21.27,1463.0,56.879999999999995,4359.0,30.38,15.88,48.24,1235.0,23.02,1110.65,17.91,37.69,55.599999999999994,18.46,33.94,55.599999999999994
DEEPAKNTR.NS,2021-08-15,2142.45,22.19,1526.0,71.82000000000001,5211.0,29.83,21.27,56.879999999999995,1463.0,30.38,1728.1,26.27,-2.29,23.98,4.31,4.33,23.98
DEEPAKNTR.NS,2021-11-15,2354.25,18.65,1681.0,77.99,5905.0,30.19,22.19,71.82000000000001,1526.0,29.83,2142.45,8.59,1.31,9.9,10.16,-15.95,9.9
TIINDIA.NS,2020-08-15,590.1,-3.41,457.0,8.83,3822.0,66.83,,,,,,,,,,,
TIINDIA.NS,2020-11-15,741.65,5.28,1193.0,9.29,3768.0,79.83,-3.41,8.83,457.0,66.83,590.1,5.21,20.47,25.68,161.05,-254.84,25.68
TIINDIA.NS,2021-02-15,949.2,5.57,1700.0,10.600000000000001,4381.0,89.55,5.28,9.29,1193.0,79.83,741.65,14.1,13.89,27.990000000000002,42.5,5.49,27.990000000000002
TIINDIA.NS,2021-05-16,1170.55,7.46,2733.0,14.900000000000002,6083.0,78.56,5.57,10.600000000000001,1700.0,89.55,949.2,40.57,-17.25,23.32,60.76,33.93,23.32
TIINDIA.NS,2021-08-15,1233.85,6.22,2437.0,24.53,8063.0,50.3,7.46,14.900000000000002,2733.0,78.56,1170.55,64.63,-59.22,5.409999999999997,-10.83,-16.62,5.409999999999997
TIINDIA.NS,2021-11-15,1746.05,8.74,3263.0,27.990000000000002,10133.0,62.38,6.22,24.53,2437.0,50.3,1233.85,14.11,27.4,41.51,33.89,40.51,41.51
