SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,6-Oct-08,5,1,INE144J01027,5
21STCENMGM,21st Century Management Services Limited,EQ,3-May-95,10,1,INE253B01015,10
3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,10,1,INE748C01038,10
3MINDIA,3M India Limited,EQ,13-Aug-04,10,1,INE470A01017,10
3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,1,INE105C01023,2
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-Dec-10,10,1,INE619I01012,10
AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,10,1,INE087Z01016,10
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,6-Aug-21,10,1,INE198H01019,10
AARON,Aaron Industries Limited,EQ,6-Nov-20,10,1,INE721Z01010,10
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,8-Feb-95,5,1,INE769A01020,5
AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,1,INE09EO01013,10
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-Nov-06,10,1,INE273D01019,10
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10
AAVAS,Aavas Financiers Limited,EQ,8-Oct-18,10,1,INE216P01012,10
ABAN,Aban Offshore Limited,BE,29-Mar-95,2,1,INE421A01028,2
ABB,ABB India Limited,EQ,8-Feb-95,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,8-Jan-10,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,1-Sep-17,10,1,INE674K01013,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,1,INE647O01011,10
ABMINTLLTD,ABM International Limited,EQ,9-Sep-21,10,1,INE251C01025,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,1,INE404A01024,5
ACC,ACC Limited,EQ,20-Nov-96,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,1-Dec-99,10,1,INE793A01012,10
ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,10,1,INE648Z01015,10
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,1,INE731H01025,2
ACRYSIL,Acrysil Limited,EQ,14-Jan-21,2,1,INE482D01024,2
ADANIENT,Adani Enterprises Limited,EQ,4-Jun-97,1,1,INE423A01024,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,10,1,INE364U01010,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,1,INE742F01042,2
ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,10,1,INE814H01011,10
ADANITRANS,Adani Transmission Limited,BE,31-Jul-15,10,1,INE931S01010,10
ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,10,1,INE982B01019,10
ADL,Archidply Decor Limited,BE,1-Oct-20,10,1,INE0CHO01012,10
ADORWELD,Ador Welding Limited,EQ,10-May-95,10,1,INE045A01017,10
ADROITINFO,Adroit Infotech Limited,EQ,13-Aug-97,10,1,INE737B01033,10
ADSL,Allied Digital Services Limited,EQ,25-Jul-07,5,1,INE102I01027,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,2,1,INE199C01026,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,2,1,INE837H01020,2
AEGISCHEM,Aegis Logistics Limited,EQ,3-Apr-96,1,1,INE208C01025,1
AFFLE,Affle (India) Limited,EQ,8-Aug-19,2,1,INE00WC01027,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,10,1,INE204E01012,10
AGCNET,AGC Networks Limited,EQ,22-Jul-03,10,1,INE676A01019,10
AGRITECH,Agri-Tech (India) Limited,BE,28-Jan-14,10,1,INE449G01018,10
AGROPHOS,Agro Phos India Limited,EQ,8-Mar-19,10,1,INE740V01019,10
AHLADA,Ahlada Engineers Limited,EQ,28-Jan-21,10,1,INE00PV01013,10
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-10,10,1,INE926K01017,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2,1,INE758C01029,2
AHLWEST,Asian Hotels (West) Limited,BZ,5-Aug-10,10,1,INE915K01010,10
AIAENG,AIA Engineering Limited,EQ,14-Dec-05,2,1,INE212H01026,2
AIRAN,Airan Limited,EQ,3-May-19,2,1,INE645W01026,2
AIROLAM,Airo Lam limited,EQ,13-Oct-21,10,1,INE801L01010,10
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-00,2,1,INE031B01049,2
AJMERA,Ajmera Realty & Infra India Limited,BE,16-Jun-09,10,1,INE298G01027,10
AJOONI,Ajooni Biotech Limited,EQ,7-May-21,10,1,INE820Y01013,10
AJRINFRA,AJR INFRA AND TOLLING LIMITED,EQ,3-Apr-08,2,1,INE181G01025,2
