"DateTime","NIFTY50","NIFTY50 - PE"
"2003-01-01 05:30:00",1100.15,14.92
"2003-01-02 05:30:00",1093.05,14.82
"2003-01-03 05:30:00",1089.6,14.78
"2003-01-06 05:30:00",1084.35,14.71
"2003-01-07 05:30:00",1081.8,14.67
"2003-01-08 05:30:00",1089.35,14.77
"2003-01-09 05:30:00",1097.35,14.88
"2003-01-10 05:30:00",1080.25,14.65
"2003-01-13 05:30:00",1073.75,14.56
"2003-01-14 05:30:00",1078.95,14.63
"2003-01-15 05:30:00",1085,14.72
"2003-01-16 05:30:00",1088.35,14.76
"2003-01-17 05:30:00",1086.5,14.74
"2003-01-20 05:30:00",1076.35,14.6
"2003-01-21 05:30:00",1077.9,14.62
"2003-01-22 05:30:00",1082.9,14.69
"2003-01-23 05:30:00",1070.9,14.52
"2003-01-24 05:30:00",1056.05,14.32
"2003-01-27 05:30:00",1037.65,14.07
"2003-01-28 05:30:00",1046.2,14.19
"2003-01-29 05:30:00",1037.2,14.07
"2003-01-30 05:30:00",1034.6,14.03
"2003-01-31 05:30:00",1041.85,14.13
"2003-02-03 05:30:00",1055.3,14.31
"2003-02-04 05:30:00",1054.8,14.31
"2003-02-05 05:30:00",1047.4,14.21
"2003-02-06 05:30:00",1063.6,14.42
"2003-02-07 05:30:00",1057.5,14.34
"2003-02-10 05:30:00",1048.6,14.22
"2003-02-11 05:30:00",1048,14.21
"2003-02-12 05:30:00",1044.45,14.17
"2003-02-14 05:30:00",1036,14.05
"2003-02-17 05:30:00",1058.2,14.35
"2003-02-18 05:30:00",1059.3,14.37
"2003-02-19 05:30:00",1064.3,14.43
"2003-02-20 05:30:00",1065.6,14.45
"2003-02-21 05:30:00",1066.15,14.46
"2003-02-24 05:30:00",1070.15,14.51
"2003-02-25 05:30:00",1055.55,14.32
"2003-02-26 05:30:00",1049.65,14.24
"2003-02-27 05:30:00",1052.95,14.28
"2003-02-28 05:30:00",1063.4,14.42
"2003-03-03 05:30:00",1058.85,14.36
"2003-03-04 05:30:00",1046.6,14.24
"2003-03-05 05:30:00",1040.7,14.16
"2003-03-06 05:30:00",1031.25,14.03
"2003-03-07 05:30:00",1017.1,13.84
"2003-03-10 05:30:00",1006.7,13.7
"2003-03-11 05:30:00",1014.55,13.81
"2003-03-12 05:30:00",1001.7,13.63
"2003-03-13 05:30:00",999.65,13.6
"2003-03-17 05:30:00",993,13.51
"2003-03-19 05:30:00",1003.9,13.71
"2003-03-20 05:30:00",1025.25,14
"2003-03-21 05:30:00",1030.55,14.08
"2003-03-22 05:30:00",1037.15,14.17
"2003-03-24 05:30:00",1013.9,13.85
"2003-03-25 05:30:00",1011.3,13.81
"2003-03-26 05:30:00",1013.85,13.85
"2003-03-27 05:30:00",1002.7,13.69
"2003-03-28 05:30:00",1000.6,13.67
"2003-03-31 05:30:00",978.2,13.36
"2003-04-01 05:30:00",984.3,13.44
"2003-04-02 05:30:00",999.4,13.65
"2003-04-03 05:30:00",1009.15,13.78
"2003-04-04 05:30:00",1016.95,13.89
"2003-04-07 05:30:00",1031.5,14.09
"2003-04-08 05:30:00",1018.1,13.91
"2003-04-09 05:30:00",1004.85,13.73
"2003-04-10 05:30:00",962.2,13.14
"2003-04-11 05:30:00",949.8,12.97
"2003-04-15 05:30:00",951.2,12.99
"2003-04-16 05:30:00",958.65,13.09
"2003-04-17 05:30:00",940.7,12.85
"2003-04-21 05:30:00",947.2,12.94
"2003-04-22 05:30:00",943.5,12.89
"2003-04-23 05:30:00",934.2,12.76
"2003-04-24 05:30:00",929.7,12.7
"2003-04-25 05:30:00",924.3,12.63
"2003-04-28 05:30:00",929.5,12.7
"2003-04-29 05:30:00",932.3,12.73
"2003-04-30 05:30:00",934.05,13.14
"2003-05-02 05:30:00",938.3,10.86
"2003-05-05 05:30:00",945.4,10.94
"2003-05-06 05:30:00",951.85,11.02
"2003-05-07 05:30:00",950.15,11
"2003-05-08 05:30:00",941.55,10.9
"2003-05-09 05:30:00",937.85,10.86
"2003-05-12 05:30:00",936,10.84
"2003-05-13 05:30:00",944.2,10.93
"2003-05-14 05:30:00",952.15,11.02
"2003-05-15 05:30:00",959.85,11.11
"2003-05-16 05:30:00",973.1,11.26
"2003-05-19 05:30:00",966.55,11.19
"2003-05-20 05:30:00",971.55,11.25
"2003-05-21 05:30:00",968,11.21
"2003-05-22 05:30:00",963.25,11.15
"2003-05-23 05:30:00",967.9,11.2
"2003-05-26 05:30:00",982.45,11.37
"2003-05-27 05:30:00",976.85,11.47
"2003-05-28 05:30:00",990.8,11.31
"2003-05-29 05:30:00",1002.6,11.61
"2003-05-30 05:30:00",1006.8,11.65
"2003-06-02 05:30:00",1015.15,11.59
"2003-06-03 05:30:00",1010.65,11.54
"2003-06-04 05:30:00",1021.05,11.66
"2003-06-05 05:30:00",1035.05,11.82
"2003-06-06 05:30:00",1046.4,11.95
"2003-06-09 05:30:00",1052.1,12.01
"2003-06-10 05:30:00",1037.8,11.85
"2003-06-11 05:30:00",1044.1,11.92
"2003-06-12 05:30:00",1051.3,12
"2003-06-13 05:30:00",1056.2,12.06
"2003-06-16 05:30:00",1051.8,12.01
"2003-06-17 05:30:00",1081.95,12.35
"2003-06-18 05:30:00",1086.75,12.41
"2003-06-19 05:30:00",1092.55,12.47
"2003-06-20 05:30:00",1100.25,12.56
"2003-06-23 05:30:00",1089.2,12.44
"2003-06-24 05:30:00",1085.35,12.39
"2003-06-25 05:30:00",1106.65,12.64
"2003-06-26 05:30:00",1116.35,12.75
"2003-06-27 05:30:00",1125.55,12.85
"2003-06-30 05:30:00",1134.15,12.95
