Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,v80,InPortfolio,LatestQtr,StarStock,BizSimple,BizType,BizOutlook,BizDurability,Conviction,Category,Stock
3MINDIA,,,,,0,1,0,0,0,1,,,,M,,3MINDIA.NS
ABBOTINDIA,,,,,0,1,0,0,0,1,,,,M,,ABBOTINDIA.NS
ACC,,,,,1,0,0,0,0,0,,0,0,L,CEMENT,ACC.NS
ADANIENT,,,,,1,0,0,1,1,0,,1,0,M,,ADANIENT.NS
ADANIGREEN,,,,,1,0,0,1,1,0,,-1,-1,L,,ADANIGREEN.NS
ADANIPORTS,,,,,1,0,0,0,0,0,,1,0,M,,ADANIPORTS.NS
ADANITRANS,,,,,1,0,0,0,0,0,,1,-1,L,,ADANITRANS.NS
AKZOINDIA,,,,,0,1,0,0,0,1,,,,M,,AKZOINDIA.NS
AMBUJACEM,408.85,,120,23.9,1,0,1,0,0,0,G,0,0,L,CEMENT,AMBUJACEM.NS
APOLLOHOSP,,,,,1,0,0,0,0,0,,,,L,,APOLLOHOSP.NS
ASIANPAINT,2954.17,,33,87.9,1,1,1,1,1,0,G,1,1,H,PAINTS,ASIANPAINT.NS
ASTRAZEN,,,,,0,1,0,0,0,1,,,,M,,ASTRAZEN.NS
AUBANK,,,,,0,0,0,1,1,0,,1,0,M,,AUBANK.NS
AUROPHARMA,,,,,1,0,0,0,0,0,,-1,0,L,,AUROPHARMA.NS
AVANTIFEED,,,,,0,1,0,0,0,1,,,,M,,AVANTIFEED.NS
AXISBANK,,,,31.3,1,1,0,1,0,0,,1,0,M,BANKS,AXISBANK.NS
BAJAJ-AUTO,,,,,1,0,0,1,1,0,,,,L,,BAJAJ-AUTO.NS
BAJAJFINSV,,,,39.2,1,1,0,1,1,0,,0,0,M,FINANCE,BAJAJFINSV.NS
BAJAJHLDNG,,,,,1,1,0,1,0,0,,,,L,,BAJAJHLDNG.NS
BAJFINANCE,6365.23,,16,52.6,1,1,1,1,1,0,G,1,1,H,FINANCE,BAJFINANCE.NS
BANDHANBNK,,,,,1,0,0,0,1,0,,1,1,L,,BANDHANBNK.NS
BANKBARODA,,,,13.5,1,0,0,0,0,0,,1,1,H,,BANKBARODA.NS
BATAINDIA,1501.51,,67,126,0,1,1,0,0,0,G,1,1,H,FOOTWEAR,BATAINDIA.NS
BAYERCROP,,,,,0,1,0,0,0,1,,,,M,,BAYERCROP.NS
BERGEPAINT,570,,,72.9,1,1,0,0,1,0,G,1,0,M,PAINTS,BERGEPAINT.NS
BHARTIARTL,,,,,1,0,0,0,1,0,,1,1,H,TELECOM,BHARTIARTL.NS
BIOCON,,,,,1,0,0,0,0,0,,1,0,M,,BIOCON.NS
BOSCHLTD,,,,,1,0,0,1,0,0,,,,L,,BOSCHLTD.NS
BPCL,,,,,1,0,0,0,0,0,,,,L,,BPCL.NS
BRITANNIA,,,,54.9,1,0,0,1,1,0,G,1,1,H,FMCG,BRITANNIA.NS
CADILAHC,,,,,1,0,0,0,0,0,,,,L,,CADILAHC.NS
CANBK,,,,8.8,0,0,0,1,1,0,V,1,1,H,BANKS,CANBK.NS
CAPLIPOINT,,,,,0,1,0,0,0,1,,,,M,,CAPLIPOINT.NS
CERA,,,,40.2,0,1,0,1,1,1,,1,1,H,CERAMICS,CERA.NS
CHOLAFIN,,,,,1,0,0,1,1,0,,,,L,,CHOLAFIN.NS
