Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
ACC.NS,2020-08-15,1385.3,14.43,2602.0,62.29,13692.0,22.24,,,,,,,,,,,
ACC.NS,2020-11-15,1668.05,19.38,3537.0,65.56,13701.0,25.44,14.43,62.29,2602.0,22.24,1385.3,5.25,15.14,20.39,35.93,34.3,20.39
ACC.NS,2021-02-15,1765.75,25.16,4145.0,76.17,13786.0,23.18,19.38,65.56,3537.0,25.44,1668.05,16.18,-10.32,5.859999999999999,17.19,29.82,5.859999999999999
ACC.NS,2021-05-16,1876.8,29.96,4292.0,88.93,14576.0,21.1,25.16,76.17,4145.0,23.18,1765.75,16.75,-10.48,6.27,3.55,19.08,6.27
ACC.NS,2021-08-15,2308.6,30.32,3885.0,104.82,15859.0,22.02,29.96,88.93,4292.0,21.1,1876.8,17.87,5.14,23.01,-9.48,1.2,23.01
ACC.NS,2021-11-15,2571.95,23.97,3749.0,109.41,16071.0,23.51,30.32,104.82,3885.0,22.02,2308.6,4.38,7.06,11.44,-3.5,-20.94,11.44
ADANIENT.NS,2020-08-15,196.2,0.27,5265.0,5.16,38106.0,38.02,,,,,,,,,,,
ADANIENT.NS,2020-11-15,371.25,3.29,9126.0,8.0,38768.0,46.41,0.27,5.16,5265.0,38.02,196.2,55.04,34.21,89.25,73.33,1118.52,89.25
ADANIENT.NS,2021-02-15,718.95,2.7,11620.0,6.82,39440.0,105.42,3.29,8.0,9126.0,46.41,371.25,-14.75,108.4,93.65,27.33,-17.93,93.65
ADANIENT.NS,2021-05-16,1220.35,2.13,13525.0,8.39,39536.0,145.45,2.7,6.82,11620.0,105.42,718.95,23.02,46.71,69.73,16.39,-21.11,69.73
ADANIENT.NS,2021-08-15,1437.0,2.47,12579.0,10.59,46850.0,135.69,2.13,8.39,13525.0,145.45,1220.35,26.22,-8.47,17.75,-6.99,15.96,17.75
ADANIENT.NS,2021-11-15,1705.2,1.93,13218.0,9.23,50942.0,184.75,2.47,10.59,12579.0,135.69,1437.0,-12.84,31.51,18.67,5.08,-21.86,18.67
ADANIGREEN.NS,2020-08-15,357.6,0.29,778.0,0.7599999999999999,2666.0,470.53,,,,,,,,,,,
ADANIGREEN.NS,2020-11-15,1008.6,0.12,612.0,0.24,2590.0,4202.5,0.29,0.7599999999999999,778.0,470.53,357.6,-68.42,250.47,182.05,-21.34,-58.62,182.05
ADANIGREEN.NS,2021-02-15,1068.95,0.28,749.0,1.31,2835.0,815.99,0.12,0.24,612.0,4202.5,1008.6,445.83,-439.85,5.979999999999961,22.39,133.33,5.979999999999961
ADANIGREEN.NS,2021-05-16,1088.05,0.67,986.0,1.36,3125.0,800.04,0.28,1.31,749.0,815.99,1068.95,3.82,-2.03,1.79,31.64,139.29,1.79
