Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
ACC.NS,2012-02-15,1339.2,69.29,19.33,,,,,,
ACC.NS,2013-02-15,1246.05,56.42,22.09,69.29,19.33,1339.2,-18.57,11.63,-6.9399999999999995
ACC.NS,2014-02-15,1008.85,58.31,17.3,56.42,22.09,1246.05,3.35,-22.42,-19.07
ACC.NS,2015-02-15,1625.05,61.88,26.26,58.31,17.3,1008.85,6.12,54.96,61.08
ACC.NS,2016-02-15,1221.05,31.3,39.01,61.88,26.26,1625.05,-49.42,24.56,-24.860000000000003
ACC.NS,2017-02-15,1465.55,35.06,41.8,31.3,39.01,1221.05,12.01,8.01,20.02
ACC.NS,2018-02-15,1629.7,49.23,33.1,35.06,41.8,1465.55,40.42,-29.22,11.200000000000003
ACC.NS,2019-02-15,1360.9,80.97,16.81,49.23,33.1,1629.7,64.47,-80.94,-16.47
ACC.NS,2020-02-15,1440.4,73.35,19.64,80.97,16.81,1360.9,-9.41,15.25,5.84
ACC.NS,2021-02-15,1765.75,76.16,23.18,73.35,19.64,1440.4,3.83,18.72,22.549999999999997
ACC.NS,2021-11-15,2571.95,109.41,23.51,76.16,23.18,1765.75,43.66,2.04,45.699999999999996
ADANIENT.NS,2012-05-16,36.24,16.72,2.17,,,,,,
ADANIENT.NS,2013-05-16,34.65,14.67,2.36,16.72,2.17,36.24,-12.26,7.69,-4.569999999999999
ADANIENT.NS,2014-05-16,76.72,20.19,3.8,14.67,2.36,34.65,37.63,83.91,121.53999999999999
ADANIENT.NS,2015-05-16,113.22,17.71,6.39,20.19,3.8,76.72,-12.28,59.79,47.51
ADANIENT.NS,2016-05-16,39.97,9.19,4.35,17.71,6.39,113.22,-48.11,-16.56,-64.67
ADANIENT.NS,2017-05-16,66.42,8.98,7.4,9.19,4.35,39.97,-2.29,68.52,66.22999999999999
ADANIENT.NS,2018-05-16,79.11,6.89,11.48,8.98,7.4,66.42,-23.27,42.32,19.05
ADANIENT.NS,2019-05-16,117.4,6.52,18.01,6.89,11.48,79.11,-5.37,53.82,48.45
