Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
AARTIDRUGS.NS,2020-08-15,528.85,9.17,545.0,21.939999999999998,1947.0,24.1,,,,,,,,,,,
AARTIDRUGS.NS,2020-11-15,716.3,8.08,578.0,26.55,2047.0,26.98,9.17,21.939999999999998,545.0,24.1,528.85,21.01,14.46,35.47,6.06,-11.89,35.47
AARTIDRUGS.NS,2021-02-15,656.0,7.3,530.0,30.869999999999997,2103.0,21.25,8.08,26.55,578.0,26.98,716.3,16.27,-24.69,-8.420000000000002,-8.3,-9.65,-8.420000000000002
AARTIDRUGS.NS,2021-05-16,817.5,5.54,502.0,30.090000000000003,2155.0,27.17,7.3,30.869999999999997,530.0,21.25,656.0,-2.53,27.15,24.619999999999997,-5.28,-24.11,24.619999999999997
AARTIDRUGS.NS,2021-08-15,649.15,5.27,580.0,26.189999999999998,2190.0,24.79,5.54,30.090000000000003,502.0,27.17,817.5,-12.96,-7.62,-20.580000000000002,15.54,-4.87,-20.580000000000002
AARTIDRUGS.NS,2021-11-15,552.9,4.6,580.0,22.71,2192.0,24.35,5.27,26.189999999999998,580.0,24.79,649.15,-13.29,-1.54,-14.829999999999998,0.0,-12.71,-14.829999999999998
AEGISCHEM.NS,2020-08-15,190.35,0.88,636.0,2.13,5865.0,89.37,,,,,,,,,,,
AEGISCHEM.NS,2020-11-15,218.85,1.65,650.0,5.0,4697.0,43.77,0.88,2.13,636.0,89.37,190.35,134.74,-119.78,14.960000000000008,2.2,87.5,14.960000000000008
AEGISCHEM.NS,2021-02-15,295.85,2.06,1546.0,5.59,4074.0,52.92,1.65,5.0,650.0,43.77,218.85,11.8,23.37,35.17,137.85,24.85,35.17
AEGISCHEM.NS,2021-05-16,325.25,1.86,1011.0,6.45,3843.0,50.43,2.06,5.59,1546.0,52.92,295.85,15.38,-5.43,9.950000000000001,-34.61,-9.71,9.950000000000001
AEGISCHEM.NS,2021-08-15,281.1,1.9,678.0,7.470000000000001,3885.0,37.63,1.86,6.45,1011.0,50.43,325.25,15.81,-29.4,-13.589999999999998,-32.94,2.15,-13.589999999999998
AEGISCHEM.NS,2021-11-15,210.2,2.69,635.0,8.51,3870.0,24.7,1.9,7.470000000000001,678.0,37.63,281.1,13.92,-39.14,-25.22,-6.34,41.58,-25.22
ALOKINDS.NS,2020-08-15,35.4,-44.95,369.0,-39.46,2824.0,-0.9,,,,,,,,,,,
ALOKINDS.NS,2020-11-15,25.4,9.66,813.0,-28.600000000000005,2796.0,-0.89,-44.95,-39.46,369.0,-0.9,35.4,-27.52,-0.81,-28.33,120.33,-121.49,-28.33
ALOKINDS.NS,2021-02-15,20.9,-0.07,1202.0,-27.259999999999998,3125.0,-0.77,9.66,-28.600000000000005,813.0,-0.89,25.4,-4.69,-12.88,-17.57,47.85,-100.72,-17.57
ALOKINDS.NS,2021-05-16,20.4,-1.01,1467.0,-36.370000000000005,3851.0,-0.56,-0.07,-27.259999999999998,1202.0,-0.77,20.9,33.42,-36.54,-3.1199999999999974,22.05,1342.86,-3.1199999999999974
ALOKINDS.NS,2021-08-15,22.7,-0.2,1264.0,8.38,4746.0,2.71,-1.01,-36.370000000000005,1467.0,-0.56,20.4,-123.04,134.33,11.290000000000006,-13.84,-80.2,11.290000000000006
ALOKINDS.NS,2021-11-15,22.8,-0.17,1905.0,-1.45,5838.0,-15.72,-0.2,8.38,1264.0,2.71,22.7,-117.3,117.72,0.4200000000000017,50.71,-15.0,0.4200000000000017
AMBER.NS,2020-08-15,1733.7,-7.14,259.45,23.759999999999998,2986.3,72.97,,,,,,,,,,,
AMBER.NS,2020-11-15,2318.6,0.49,407.93,20.51,2770.99,113.05,-7.14,23.759999999999998,259.45,72.97,1733.7,-13.68,47.42,33.74,57.23,-106.86,33.74
AMBER.NS,2021-02-15,3186.05,7.99,764.71,21.32,2747.2700000000004,149.44,0.49,20.51,407.93,113.05,2318.6,3.95,33.46,37.410000000000004,87.46,1530.61,37.410000000000004
AMBER.NS,2021-05-16,2956.3,22.4,1598.43,23.74,3030.52,124.53,7.99,21.32,764.71,149.44,3186.05,11.35,-18.56,-7.209999999999999,109.02,180.35,-7.209999999999999
AMBER.NS,2021-08-15,2928.9,3.69,707.93,34.57,3479.0,84.72,22.4,23.74,1598.43,124.53,2956.3,45.62,-46.55,-0.9299999999999997,-55.71,-83.53,-0.9299999999999997
AMBER.NS,2021-11-15,3312.7,2.21,587.48,36.29,3658.55,91.28,3.69,34.57,707.93,84.72,2928.9,4.98,8.13,13.110000000000001,-17.01,-40.11,13.110000000000001
ANURAS.NS,2021-05-16,734.45,2.22,272.0,9.860000000000001,811.0,74.49,,,,,,,,,,,
ANURAS.NS,2021-08-15,754.15,3.21,234.0,13.02,910.0,57.92,2.22,9.860000000000001,272.0,74.49,734.45,32.05,-29.37,2.679999999999996,-13.97,44.59,2.679999999999996
ANURAS.NS,2021-11-15,820.35,3.61,249.0,11.55,939.0,71.03,3.21,13.02,234.0,57.92,754.15,-11.29,20.08,8.79,6.41,12.46,8.79
ASTRAZEN.NS,2020-08-15,3323.25,7.45,194.0,27.73,821.0,119.84,,,,,,,,,,,
ASTRAZEN.NS,2020-11-15,4426.55,10.54,209.0,32.5,822.0,136.2,7.45,27.73,194.0,119.84,3323.25,17.2,16.0,33.2,7.73,41.48,33.2
