Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
POWERGRID.NS,2020-08-15,131.55,2.94,9457.0,15.209999999999999,38020.0,8.65,,,,,,,,,,,
POWERGRID.NS,2020-11-15,141.0,4.44,9530.0,15.96,38499.0,8.83,2.94,15.209999999999999,9457.0,8.65,131.55,4.93,2.18,7.109999999999999,0.77,51.02,7.109999999999999
POWERGRID.NS,2021-02-15,159.49,4.83,10142.0,16.96,39277.0,9.4,4.44,15.96,9530.0,8.83,141.0,6.27,6.86,13.129999999999999,6.42,8.78,13.129999999999999
POWERGRID.NS,2021-05-16,171.64,5.06,10510.0,17.270000000000003,39639.0,9.94,4.83,16.96,10142.0,9.4,159.49,1.83,5.85,7.68,3.63,4.76,7.68
POWERGRID.NS,2021-08-15,184.75,8.6,10216.0,22.930000000000003,40398.0,8.06,5.06,17.270000000000003,10510.0,9.94,171.64,32.77,-25.12,7.650000000000002,-2.8,69.96,7.650000000000002
POWERGRID.NS,2021-11-15,182.0,4.84,10267.0,23.33,41135.0,7.8,8.6,22.930000000000003,10216.0,8.06,184.75,1.74,-3.28,-1.5399999999999998,0.5,-43.72,-1.5399999999999998
JSWSTEEL.NS,2020-08-15,265.35,-2.32,11782.0,10.1,65296.0,26.27,,,,,,,,,,,
JSWSTEEL.NS,2020-11-15,341.95,6.59,19264.0,6.1,66988.0,56.06,-2.32,10.1,11782.0,26.27,265.35,-39.6,68.48,28.880000000000003,63.5,-384.05,28.880000000000003
JSWSTEEL.NS,2021-02-15,403.8,11.09,21859.0,16.32,70792.0,24.74,6.59,6.1,19264.0,56.06,341.95,167.54,-149.48,18.060000000000002,13.47,68.29,18.060000000000002
JSWSTEEL.NS,2021-05-16,707.1,17.37,26934.0,32.73,79839.0,21.6,11.09,16.32,21859.0,24.74,403.8,100.55,-25.45,75.1,23.22,56.63,75.1
JSWSTEEL.NS,2021-08-15,749.05,24.42,28902.0,59.47000000000001,96959.0,12.6,17.37,32.73,26934.0,21.6,707.1,81.7,-75.69,6.010000000000005,7.31,40.59,6.010000000000005
JSWSTEEL.NS,2021-11-15,671.35,29.66,32503.0,82.54,110198.0,8.13,24.42,59.47000000000001,28902.0,12.6,749.05,38.79,-49.26,-10.469999999999999,12.46,21.46,-10.469999999999999
COALINDIA.NS,2020-08-15,131.85,3.37,18487.0,22.99,89628.0,5.74,,,,,,,,,,,
COALINDIA.NS,2020-11-15,127.1,4.78,21153.0,22.05,90398.0,5.76,3.37,22.99,18487.0,5.74,131.85,-4.09,0.33,-3.76,14.42,41.84,-3.76
COALINDIA.NS,2021-02-15,133.85,5.01,23686.0,20.69,90894.0,6.47,4.78,22.05,21153.0,5.76,127.1,-6.17,11.56,5.390000000000001,11.97,4.81,5.390000000000001
COALINDIA.NS,2021-05-16,146.8,7.44,26700.0,20.6,90026.0,7.13,5.01,20.69,23686.0,6.47,133.85,-0.43,10.16,9.73,12.72,48.5,9.73
COALINDIA.NS,2021-08-15,143.75,5.14,25282.0,22.37,96821.0,6.43,7.44,20.6,26700.0,7.13,146.8,8.59,-10.67,-2.08,-5.31,-30.91,-2.08
COALINDIA.NS,2021-11-15,166.95,4.77,23291.0,22.36,98959.0,7.47,5.14,22.37,25282.0,6.43,143.75,-0.04,16.18,16.14,-7.88,-7.2,16.14
NTPC.NS,2020-08-15,88.4,2.92,26195.0,11.52,108773.0,7.67,,,,,,,,,,,
NTPC.NS,2020-11-15,90.9,3.47,27708.0,11.24,110772.0,8.09,2.92,11.52,26195.0,7.67,88.4,-2.43,5.34,2.9099999999999997,5.78,18.84,2.9099999999999997
NTPC.NS,2021-02-15,95.95,3.88,27526.0,11.82,111820.0,8.12,3.47,11.24,27708.0,8.09,90.9,5.16,0.39,5.55,-0.66,11.82,5.55
NTPC.NS,2021-05-16,111.4,4.68,30103.0,14.95,111532.0,7.45,3.88,11.82,27526.0,8.12,95.95,26.48,-10.44,16.04,9.36,20.62,16.04
NTPC.NS,2021-08-15,118.25,3.52,29888.0,15.549999999999999,115225.0,7.6,4.68,14.95,30103.0,7.45,111.4,4.01,2.09,6.1,-0.71,-24.79,6.1
NTPC.NS,2021-11-15,136.45,3.71,32404.0,15.79,119921.0,8.64,3.52,15.549999999999999,29888.0,7.6,118.25,1.54,13.89,15.43,8.42,5.4,15.43
ADANIPORTS.NS,2020-08-15,348.1,3.73,2293.0,17.23,11371.0,20.2,,,,,,,,,,,
ADANIPORTS.NS,2020-11-15,366.1,6.83,2903.0,18.87,11453.0,19.4,3.73,17.23,2293.0,20.2,348.1,9.52,-4.34,5.18,26.6,83.11,5.18
ADANIPORTS.NS,2021-02-15,616.6,7.69,3746.0,19.9,11863.0,30.98,6.83,18.87,2903.0,19.4,366.1,5.46,62.95,68.41,29.04,12.59,68.41
ADANIPORTS.NS,2021-05-16,733.55,6.34,3608.0,24.59,12550.0,29.83,7.69,19.9,3746.0,30.98,616.6,23.57,-4.59,18.98,-3.68,-17.56,18.98
ADANIPORTS.NS,2021-08-15,704.15,6.4,4557.0,27.259999999999998,14814.0,25.83,6.34,24.59,3608.0,29.83,733.55,10.86,-14.86,-4.0,26.3,0.95,-4.0
ADANIPORTS.NS,2021-11-15,750.3,4.66,3532.0,25.09,15443.0,29.9,6.4,27.259999999999998,4557.0,25.83,704.15,-7.96,14.5,6.54,-22.49,-27.19,6.54
BRITANNIA.NS,2020-08-15,3801.35,22.69,3421.0,70.59,12321.0,53.85,,,,,,,,,,,
BRITANNIA.NS,2020-11-15,3527.35,20.69,3419.0,74.46000000000001,12691.0,47.37,22.69,70.59,3421.0,53.85,3801.35,5.48,-12.69,-7.209999999999999,-0.06,-8.81,-7.209999999999999
