Share Name,NSE ID,% Allocation
Alphabet Inc.,,0.0859
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,0.0831
Microsoft Corporation,,0.0765
Amazon.Com Inc,,0.0708
ITC Ltd.,ITC,0.0697
Meta Platforms,,0.0605
Indian Energy Exchange Ltd.,IEX,0.06
HCL Technologies Ltd.,HCLTECH,0.0498
ICICI Bank Ltd.,ICICIBANK,0.0474
Hero MotoCorp Ltd.,HEROMOTOCO,0.0469
Axis Bank Ltd.,AXISBANK,0.0455
TREPS,,0.0452
Power Grid Corporation of India Ltd.,POWERGRID,0.0385
Central Depository Services (I) Ltd.,CDSL,0.0381
HDFC Bank Ltd.,HDFCBANK,0.0262
Multi Commodity Exchange of India Ltd.,MCX,0.0218
Persistent Systems Ltd.,PERSISTENT,0.0215
Mphasis Ltd.,MPHASIS,0.0182
Balkrishna Industries Ltd.,BALKRISIND,0.0146
Motilal Oswal Financial Services Ltd.,MOTILALOFS,0.012
IPCA Laboratories Ltd.,IPCALAB,0.0101
Suzuki Motor Corporation,,< 1%
Oracle Financial Services Software Ltd.,OFSS,< 1%
Dr. Reddy's Laboratories Ltd.,DRREDDY,< 1%
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,< 1%
Cadila Healthcare Ltd.,CADILAHC,< 1%
ICRA Ltd.,ICRA,< 1%
Lupin Ltd.,LUPIN,< 1%
