Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
BAJAJHLDNG.NS,2020-08-15,2598.85,61.02,90.0,269.72,405.0,9.64,,,,,,,,,,,
BAJAJHLDNG.NS,2020-11-15,2707.1,78.36,116.0,255.64999999999998,403.0,10.59,61.02,269.72,90.0,9.64,2598.85,-5.22,9.35,4.13,28.89,28.42,4.13
BAJAJHLDNG.NS,2021-02-15,3544.6,103.29,100.0,275.14,416.0,12.88,78.36,255.64999999999998,116.0,10.59,2707.1,7.62,23.27,30.89,-13.79,31.81,30.89
BAJAJHLDNG.NS,2021-05-16,3504.2,85.27,92.0,327.94,398.0,10.69,103.29,275.14,100.0,12.88,3544.6,19.19,-20.26,-1.0700000000000003,-8.0,-17.45,-1.0700000000000003
BAJAJHLDNG.NS,2021-08-15,4197.5,69.96,98.0,336.88,406.0,12.46,85.27,327.94,92.0,10.69,3504.2,2.73,17.02,19.75,6.52,-17.95,19.75
BAJAJHLDNG.NS,2021-11-15,4984.3,101.67,147.0,360.19,437.0,13.84,69.96,336.88,98.0,12.46,4197.5,6.92,11.84,18.759999999999998,50.0,45.33,18.759999999999998
ITC.NS,2020-08-15,196.4,2.04,10478.0,11.76,48030.0,16.7,,,,,,,,,,,
ITC.NS,2020-11-15,188.6,2.74,12077.0,11.15,47240.0,16.91,2.04,11.76,10478.0,16.7,196.4,-5.19,1.19,-4.0,15.26,34.31,-4.0
ITC.NS,2021-02-15,217.45,2.87,13080.0,10.790000000000001,47417.0,20.15,2.74,11.15,12077.0,16.91,188.6,-3.23,18.54,15.309999999999999,8.31,4.74,15.309999999999999
ITC.NS,2021-05-16,212.25,3.05,14342.0,10.7,49977.0,19.84,2.87,10.790000000000001,13080.0,20.15,217.45,-0.83,-1.53,-2.36,9.65,6.27,-2.36
ITC.NS,2021-08-15,211.45,2.66,13247.0,11.32,52746.0,18.68,3.05,10.7,14342.0,19.84,212.25,5.79,-6.19,-0.40000000000000036,-7.63,-12.79,-0.40000000000000036
ITC.NS,2021-11-15,232.9,3.01,13757.0,11.59,54426.0,20.09,2.66,11.32,13247.0,18.68,211.45,2.39,7.73,10.120000000000001,3.85,13.16,10.120000000000001
IEX.NS,2020-08-15,61.8,0.47,68.0,1.98,264.0,31.21,,,,,,,,,,,
IEX.NS,2020-11-15,68.92,0.49,71.0,1.93,268.0,35.71,0.47,1.98,68.0,31.21,61.8,-2.53,14.05,11.520000000000001,4.41,4.26,11.520000000000001
IEX.NS,2021-02-15,99.43,0.65,85.0,2.12,293.0,46.9,0.49,1.93,71.0,35.71,68.92,9.84,34.42,44.260000000000005,19.72,32.65,44.260000000000005
IEX.NS,2021-05-16,124.45,0.68,94.0,2.29,318.0,54.34,0.65,2.12,85.0,46.9,99.43,8.02,17.14,25.16,10.59,4.62,25.16
IEX.NS,2021-08-15,136.48,0.7,91.0,2.5199999999999996,341.0,54.16,0.68,2.29,94.0,54.34,124.45,10.04,-0.36,9.68,-3.19,2.94,9.68
IEX.NS,2021-11-15,264.37,0.86,110.0,2.89,380.0,91.48,0.7,2.5199999999999996,91.0,54.16,136.48,14.68,79.03,93.71000000000001,20.88,22.86,93.71000000000001
HCLTECH.NS,2020-08-15,709.1,10.8,17842.0,43.330000000000005,72091.0,16.37,,,,,,,,,,,
HCLTECH.NS,2020-11-15,830.5,11.58,18594.0,44.92,73158.0,18.49,10.8,43.330000000000005,17842.0,16.37,709.1,3.67,13.43,17.1,4.21,7.22,17.1
HCLTECH.NS,2021-02-15,960.4,14.63,19302.0,48.7,74325.0,19.72,11.58,44.92,18594.0,18.49,830.5,8.41,7.21,15.620000000000001,3.81,26.34,15.620000000000001
HCLTECH.NS,2021-05-16,910.35,4.06,19641.0,41.07000000000001,75379.0,22.17,14.63,48.7,19302.0,19.72,960.4,-15.67,10.48,-5.1899999999999995,1.76,-72.25,-5.1899999999999995
HCLTECH.NS,2021-08-15,1119.45,11.81,20068.0,42.08,77605.0,26.6,4.06,41.07000000000001,19641.0,22.17,910.35,2.46,20.48,22.94,2.17,190.89,22.94
HCLTECH.NS,2021-11-15,1172.35,12.01,20655.0,42.51,79666.0,27.58,11.81,42.08,20068.0,26.6,1119.45,1.02,3.72,4.74,2.93,1.69,4.74
ICICIBANK.NS,2020-08-15,361.4,4.81,11347.0,15.709999999999999,45004.0,23.0,,,,,,,,,,,
ICICIBANK.NS,2020-11-15,486.9,7.08,10945.0,21.04,44614.0,23.14,4.81,15.709999999999999,11347.0,23.0,361.4,33.93,0.82,34.75,-3.54,47.19,34.75
