Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
3IINFOLTD.NS,2020-08-15,28.5,0.06,150.0,0.46,891.0,61.96,,,,,,,,,,,
3IINFOLTD.NS,2020-11-15,32.0,0.09,152.0,0.47,747.0,68.09,0.06,0.46,150.0,61.96,28.5,2.17,10.11,12.28,1.33,50.0,12.28
3IINFOLTD.NS,2021-02-15,69.0,0.14,158.0,0.44000000000000006,618.0,156.82,0.09,0.47,152.0,68.09,32.0,-6.38,122.0,115.62,3.95,55.56,115.62
3IINFOLTD.NS,2021-05-16,92.5,2.12,149.0,2.41,609.0,38.38,0.14,0.44000000000000006,158.0,156.82,69.0,447.73,-413.68,34.05000000000001,-5.7,1414.29,34.05000000000001
3IINFOLTD.NS,2021-08-15,79.5,-0.05,160.0,2.3000000000000003,619.0,34.57,2.12,2.41,149.0,38.38,92.5,-4.56,-9.47,-14.030000000000001,7.38,-102.36,-14.030000000000001
3IINFOLTD.NS,2021-11-15,70.05,-1.43,177.0,0.7800000000000001,644.0,89.81,-0.05,2.3000000000000003,160.0,34.57,79.5,-66.09,54.2,-11.89,10.62,2760.0,-11.89
ALKYLAMINE.NS,2020-08-15,1133.84,10.35,245.0,45.69,972.0,24.82,,,,,,,,,,,
ALKYLAMINE.NS,2020-11-15,1355.56,12.84,291.0,47.959999999999994,1028.0,28.26,10.35,45.69,245.0,24.82,1133.84,4.97,14.55,19.52,18.78,24.06,19.52
ALKYLAMINE.NS,2021-02-15,2136.32,16.57,324.0,49.41,1095.0,43.24,12.84,47.959999999999994,291.0,28.26,1355.56,3.02,54.6,57.620000000000005,11.34,29.05,57.620000000000005
ALKYLAMINE.NS,2021-05-16,3689.05,18.16,382.0,57.92000000000001,1242.0,63.69,16.57,49.41,324.0,43.24,2136.32,17.22,55.44,72.66,17.9,9.6,72.66
ALKYLAMINE.NS,2021-08-15,4271.2,15.38,392.0,62.95,1389.0,67.85,18.16,57.92000000000001,382.0,63.69,3689.05,8.68,7.1,15.78,2.62,-15.31,15.78
ALKYLAMINE.NS,2021-11-15,3284.2,10.59,349.0,60.699999999999996,1447.0,54.11,15.38,62.95,392.0,67.85,4271.2,-3.57,-19.53,-23.1,-10.97,-31.14,-23.1
ASIANPAINT.NS,2020-08-15,1802.55,2.28,2923.0,23.65,18030.0,76.22,,,,,,,,,,,
ASIANPAINT.NS,2020-11-15,2184.6,8.66,5350.0,23.73,18329.0,92.06,2.28,23.65,2923.0,76.22,1802.55,0.34,20.85,21.19,83.03,279.82,21.19
