Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
ASIANPAINT.NS,2012-05-16,376.8,10.31,36.55,,,,,,
ASIANPAINT.NS,2013-05-16,482.45,11.61,41.55,10.31,36.55,376.8,12.61,15.41,28.02
ASIANPAINT.NS,2014-05-16,529.05,12.71,41.62,11.61,41.55,482.45,9.47,0.18,9.65
ASIANPAINT.NS,2015-05-16,790.3,14.54,54.35,12.71,41.62,529.05,14.4,34.99,49.39
ASIANPAINT.NS,2016-05-16,943.65,18.19,51.88,14.54,54.35,790.3,25.1,-5.69,19.41
ASIANPAINT.NS,2017-05-16,1148.05,20.22,56.78,18.19,51.88,943.65,11.16,10.5,21.66
ASIANPAINT.NS,2018-05-16,1314.65,21.26,61.84,20.22,56.78,1148.05,5.14,9.37,14.509999999999998
ASIANPAINT.NS,2019-05-16,1305.95,22.48,58.09,21.26,61.84,1314.65,5.74,-6.41,-0.6699999999999999
ASIANPAINT.NS,2020-05-16,1552.95,28.2,55.07,22.48,58.09,1305.95,25.44,-6.52,18.92
ASIANPAINT.NS,2021-05-16,2774.5,32.73,84.77,28.2,55.07,1552.95,16.06,62.6,78.66
ASIANPAINT.NS,2021-11-15,3122.9,33.93,92.04,32.73,84.77,2774.5,3.67,8.89,12.56
AXISBANK.NS,2012-05-16,198.72,20.42,9.73,,,,,,
AXISBANK.NS,2013-05-16,301.74,22.37,13.49,20.42,9.73,198.72,9.55,42.33,51.879999999999995
AXISBANK.NS,2014-05-16,332.81,26.86,12.39,22.37,13.49,301.74,20.07,-9.79,10.280000000000001
AXISBANK.NS,2015-05-16,562.05,31.42,17.89,26.86,12.39,332.81,16.98,51.92,68.9
AXISBANK.NS,2016-05-16,490.65,35.04,14.0,31.42,17.89,562.05,11.52,-24.25,-12.73
AXISBANK.NS,2017-05-16,500.1,16.51,30.29,35.04,14.0,490.65,-52.88,54.81,1.9299999999999997
AXISBANK.NS,2018-05-16,549.7,1.78,308.82,16.51,30.29,500.1,-89.22,99.14,9.920000000000002
AXISBANK.NS,2019-05-16,721.95,19.59,36.85,1.78,308.82,549.7,1000.56,-969.24,31.319999999999936
