Share Name,NSE ID
Escorts Ltd.,ESCORTS
Canara Bank,CANBK
Bilcare Ltd.,526853
TARC Ltd.,TARC
Anant Raj Ltd.,ANANTRAJ
Aptech Ltd.,APTECHT
Agro Tech Foods Ltd.,ATFL
Autoline Industries Ltd.,AUTOIND
Crisil Ltd.,CRISIL
D B Realty Ltd.,DBREALTY
Delta Corp Ltd.,DELTACORP
Edelweiss Financial Services Ltd.,EDELWEISS
Federal Bank Ltd.,FEDERALBNK
Fortis Healthcare Ltd.,FORTIS
Geojit Financial Services Ltd.,GEOJITFSL
Indiabulls Real Estate Ltd.,IBREALEST
Indiabulls Housing Finance Ltd.,IBULHSGFIN
Indian Hotels Company Ltd.,INDHOTEL
Jubilant Pharmova Ltd.,JUBLPHARMA
Karur Vysya Bank Ltd.,KARURVYSYA
Man Infraconstruction Ltd.,MANINFRA
National Aluminium Company Ltd.,NATIONALUM
NCC Ltd.,NCC
Orient Cement Ltd.,ORIENTCEM
Prakash Industries Ltd.,PRAKASH
Prozone Intu Properties Ltd.,PROZONINTU
Rallis India Ltd.,RALLIS
Steel Authority of India (SAIL) Ltd.,SAIL
Tata Communications Ltd.,TATACOMM
Tata Motors Ltd.,TATAMOTORS
Titan Company Ltd.,TITAN
TV18 Broadcast Ltd.,TV18BRDCST
Va Tech Wabag Ltd.,WABAG
Wockhardt Ltd.,WOCKPHARMA
The Mandhana Retail Ventures Ltd.,TMRVL
Dishman Carbogen Amcis Ltd.,DCAL
Prakash Pipes Ltd.,PPL
Nazara Technologies Ltd.,NAZARA
Jubilant Ingrevia Ltd.,JUBLINGREA
Firstsource Solutions Ltd.,FSL
GMR Infrastructure Ltd.,GMRINFRA
Lupin Ltd.,LUPIN
Multi Commodity Exchange of India Ltd.,MCX
VIP Industries Ltd.,VIPIND
Ion Exchange (India) Ltd.,
