Type,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Latest,Stock,Max,Diff%
Sales,21953.0,24718.0,29525.0,32109.0,29081.0,27230.0,36845.0,,HDFC.NS,36845.0,0.0
Profit,12650.0,16207.0,22099.0,26193.0,24237.0,28252.0,32131.0,,HDFC.NS,32131.0,0.0
Sales,1966.0,1969.0,2082.0,2152.0,2239.0,2611.0,2425.0,,PFIZER.NS,2611.0,7.12
Profit,517.0,548.0,660.0,642.0,669.0,773.0,824.0,,PFIZER.NS,824.0,0.0
Sales,21603.0,33286.0,46966.0,37923.0,34579.0,51166.0,52711.0,,JINDALSTEL.NS,52711.0,0.0
Profit,-3043.0,-1864.0,-2802.0,-291.0,6078.0,9690.0,5266.0,,JINDALSTEL.NS,9690.0,45.66
Sales,8365.0,9076.0,10848.0,11291.0,9334.0,14130.0,16740.0,,GODREJIND.NS,16740.0,0.0
Profit,626.0,597.0,1086.0,1083.0,617.0,1282.0,1681.0,,GODREJIND.NS,1681.0,0.0
Sales,42768.0,43449.0,48340.0,49388.0,49257.0,60645.0,70937.0,,ITC.NS,70937.0,0.0
Profit,16026.0,17409.0,19150.0,20035.0,17938.0,20740.0,25866.0,,ITC.NS,25866.0,0.0
Sales,2646.0,2963.0,3783.0,3520.0,3177.0,3585.0,3772.0,,SUNTV.NS,3783.0,0.29
Profit,1551.0,1718.0,2185.0,1819.0,1941.0,2195.0,2278.0,,SUNTV.NS,2278.0,0.0
Sales,4064.0,3891.0,4946.0,5394.0,6969.0,8960.0,7768.0,,DIVISLAB.NS,8960.0,13.3
Profit,1395.0,1231.0,1855.0,1819.0,2666.0,3684.0,2369.0,,DIVISLAB.NS,3684.0,35.69
Sales,5935.0,6714.0,7594.0,9684.0,11535.0,12185.0,11898.0,,MUTHOOTFIN.NS,12185.0,2.36
Profit,1959.0,2942.0,3260.0,4260.0,5131.0,5410.0,4923.0,,MUTHOOTFIN.NS,5410.0,9.0
Sales,8828.0,11615.0,12153.0,11699.0,15370.0,25882.0,17667.0,,NMDC.NS,25882.0,31.74
Profit,4287.0,6176.0,7194.0,6114.0,8896.0,12974.0,7646.0,,NMDC.NS,12974.0,41.07
Sales,7543.0,9509.0,11499.0,8472.0,8956.0,14181.0,14255.0,,NATIONALUM.NS,14255.0,0.0
Profit,964.0,2039.0,2741.0,224.0,1316.0,3954.0,1845.0,,NATIONALUM.NS,3954.0,53.34
Sales,1745.0,1871.0,2107.0,2073.0,2194.0,2722.0,2777.0,,TTKPRESTIG.NS,2777.0,0.0
Profit,184.0,359.0,286.0,234.0,317.0,411.0,343.0,,TTKPRESTIG.NS,411.0,16.55
Sales,2445.0,2815.0,3078.0,2877.0,2768.0,3768.0,4481.0,,FINCABLES.NS,4481.0,0.0
Profit,504.0,549.0,610.0,512.0,631.0,787.0,649.0,,FINCABLES.NS,787.0,17.53
Sales,888.0,988.0,1151.0,1312.0,1128.0,1589.0,2346.0,,NAUKRI.NS,2346.0,0.0
Profit,5.0,585.0,716.0,-126.0,1602.0,14200.0,141.0,,NAUKRI.NS,14200.0,99.01
Sales,14910.0,16463.0,19564.0,23099.0,24775.0,23455.0,24855.0,,AUROPHARMA.NS,24855.0,0.0
Profit,3061.0,3241.0,3091.0,3743.0,7344.0,3373.0,2612.0,,AUROPHARMA.NS,7344.0,64.43
Sales,282506.0,322706.0,421624.0,396728.0,303849.0,491216.0,684829.0,,ONGC.NS,684829.0,0.0
Profit,41718.0,39208.0,54846.0,18962.0,30126.0,54091.0,43051.0,,ONGC.NS,54846.0,21.51
Sales,7256.0,8243.0,9617.0,11247.0,10560.0,14663.0,16612.0,,APOLLOHOSP.NS,16612.0,0.0
Profit,222.0,171.0,373.0,660.0,221.0,1578.0,1101.0,,APOLLOHOSP.NS,1578.0,30.23
Sales,958.0,1078.0,1209.0,1664.0,1938.0,2273.0,2368.0,,LUXIND.NS,2368.0,0.0
Profit,92.0,121.0,155.0,243.0,366.0,459.0,198.0,,LUXIND.NS,459.0,56.86
Sales,20234.0,19798.0,27660.0,28343.0,33066.0,35821.0,40925.0,,NIACL.NS,40925.0,0.0
Profit,1194.0,2722.0,677.0,1659.0,2060.0,178.0,1256.0,,NIACL.NS,2722.0,53.86
Sales,544.0,571.0,728.0,832.0,814.0,806.0,1003.0,,ASTRAZEN.NS,1003.0,0.0
Profit,36.0,44.0,73.0,114.0,127.0,83.0,134.0,,ASTRAZEN.NS,134.0,0.0
Sales,242132.0,187686.0,175763.0,195600.0,258306.0,243128.0,339690.0,,RAJESHEXPO.NS,339690.0,0.0
Profit,1303.0,1342.0,1346.0,1261.0,894.0,1038.0,1478.0,,RAJESHEXPO.NS,1478.0,0.0
Sales,501.0,616.0,846.0,993.0,1242.0,1543.0,1682.0,,ALKYLAMINE.NS,1682.0,0.0
Profit,74.0,96.0,130.0,260.0,401.0,302.0,309.0,,ALKYLAMINE.NS,401.0,22.94
Sales,103.0,126.0,150.0,147.0,151.0,212.0,254.0,254.0,PREMIERPOL.NS,254.0,0.0
Profit,6.0,7.0,6.0,9.0,11.0,14.0,15.0,19.0,PREMIERPOL.NS,19.0,0.0
Sales,117966.0,123104.0,146463.0,156949.0,164177.0,191754.0,225458.0,232081.0,TCS.NS,232081.0,0.0
Profit,34513.0,34092.0,41563.0,42248.0,43760.0,51687.0,56907.0,59120.0,TCS.NS,59120.0,0.0
Sales,7.0,20.0,61.0,108.0,195.0,298.0,338.0,338.0,5PAISA.NS,338.0,0.0
Profit,-16.0,-33.0,-25.0,-10.0,20.0,18.0,58.0,67.0,5PAISA.NS,67.0,0.0
Sales,47568.0,50569.0,60427.0,70676.0,75379.0,85651.0,101456.0,104288.0,HCLTECH.NS,104288.0,0.0
Profit,10542.0,11024.0,12622.0,13980.0,15853.0,16951.0,19488.0,19847.0,HCLTECH.NS,19847.0,0.0
Sales,440.0,770.0,778.0,748.0,1289.0,2292.0,3002.0,3099.0,ANGELONE.NS,3099.0,0.0
Profit,48.0,159.0,124.0,114.0,410.0,836.0,1192.0,1246.0,ANGELONE.NS,1246.0,0.0
Sales,5653.0,6226.0,7316.0,8678.0,8435.0,7959.0,9975.0,11126.0,FEDERALBNK.NS,11126.0,0.0
Profit,1342.0,1393.0,1960.0,2060.0,2209.0,2646.0,4263.0,4602.0,FEDERALBNK.NS,4602.0,0.0
Sales,55448.0,54487.0,59019.0,61138.0,61935.0,79312.0,90488.0,91790.0,WIPRO.NS,91790.0,0.0
Profit,11039.0,10242.0,11542.0,12252.0,13903.0,15141.0,14766.0,15211.0,WIPRO.NS,15211.0,0.0
Sales,1505.0,1770.0,2148.0,4562.0,4961.0,5157.0,6645.0,7136.0,BANDHANBNK.NS,7136.0,0.0
Profit,1704.0,2056.0,3013.0,4053.0,2949.0,129.0,2893.0,2675.0,BANDHANBNK.NS,4053.0,34.0
Sales,11898.0,15033.0,20005.0,24870.0,24143.0,30976.0,42840.0,44667.0,DMART.NS,44667.0,0.0
Profit,747.0,1222.0,1422.0,1745.0,1483.0,2064.0,3060.0,3082.0,DMART.NS,3082.0,0.0
Sales,6501.0,7306.0,9446.0,10879.0,12370.0,26109.0,33183.0,34241.0,LTIM.NS,34241.0,0.0
Profit,1236.0,1442.0,2028.0,2003.0,2588.0,5294.0,5792.0,5854.0,LTIM.NS,5854.0,0.0
