Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,Criteria,Strategy,InPortfolio,LatestQtr,StarStock,BizCheck,FinCheck,TechCheck,Conviction,Category,Stock
3MINDIA,,,,,0,V40N,,NA,1,1,1,,,M,,3MINDIA.NS
5PAISA,347.06,532,228,65,0,V40N,ATH,AR,1,1,1,1,1,M,FINANCE,5PAISA.NS
AAVAS,1453.92,3075,37,57.7,0,VR,2T3Y,AR,1,1,1,1,1,M,FINANCE,AAVAS.NS
ABBOTINDIA,,27500,,,0,V40,BTT,NA,1,1,1,1,,M,PHARMA,ABBOTINDIA.NS
ACC,,,,,1,,,NA,0,0,0,1,0,L,CEMENT,ACC.NS
ADANIENT,,,,,1,,,NA,1,0,0,1,1,M,,ADANIENT.NS
ADANIGREEN,,,,,1,,,NA,1,1,0,1,0,L,,ADANIGREEN.NS
ADANIPORTS,,,,,1,,,NA,1,1,0,1,1,M,,ADANIPORTS.NS
ADANITRANS,,,,,1,,,NA,1,1,0,1,1,L,,ADANITRANS.NS
AKZOINDIA,,,3224,,0,V40,BTT,NA,1,1,1,1,,M,,AKZOINDIA.NS
ALKYLAMINE,,,,,0,,,NA,0,,,1,,M,CHEMICALS,ALKYLAMINE.NS
AMARAJABAT,625.25,1010,72,19.4,0,V200,ATH,AR,1,1,1,1,1,M,AUTO,AMARAJABAT.NS
AMBUJACEM,424.02,575,180,23.9,1,VR,ATH,AR,0,0,1,1,1,L,CEMENT,AMBUJACEM.NS
ANGELONE,,,,,0,V40N,,NA,1,1,1,1,,M,FINANCE,ANGELONE.NS
APOLLOHOSP,,,,,1,,,NA,1,0,0,1,,L,,APOLLOHOSP.NS
ASIANPAINT,3091.34,4250,25,87.9,1,V40,BTT,NA,1,1,1,1,1,H,PAINTS,ASIANPAINT.NS
ASTRAZEN,,,,,0,V40N,,NA,1,1,1,1,,M,,ASTRAZEN.NS
AUBANK,,,,,0,,,NA,1,1,0,1,1,M,,AUBANK.NS
AUROPHARMA,,,,,1,,,NA,1,0,0,1,0,L,,AUROPHARMA.NS
AVANTIFEED,,,,,0,V200,,NA,1,0,1,1,,M,,AVANTIFEED.NS
AXISBANK,,,,31.3,1,V40,,NA,1,1,0,1,1,M,BANKS,AXISBANK.NS
BAJAJ-AUTO,,,,,1,V40,,NA,1,1,0,1,,L,,BAJAJ-AUTO.NS
BAJAJFINSV,1454.93,1800,52,39.2,1,V40,ATH,AR,1,1,1,1,1,H,FINANCE,BAJAJFINSV.NS
BAJAJHIND,17.15,22,1750,9.3,0,VR,ATH,NA,1,0,1,1,1,M,SUGAR,BAJAJHIND.NS
BAJAJHLDNG,,,,,1,V40,,NA,1,0,0,1,,L,,BAJAJHLDNG.NS
BAJFINANCE,6602.15,9150,24,52.6,1,V40,BTT,NA,1,1,1,1,1,H,FINANCE,BAJFINANCE.NS
BANDHANBNK,244.52,600,400,22.4,1,VR,2T3Y,AR,1,0,1,1,1,M,BANKS,BANDHANBNK.NS
BANKBARODA,,,,13.5,1,,,NA,1,1,0,1,1,H,,BANKBARODA.NS
BATAINDIA,1523.62,2000,70,126,0,V40,ATH,AR,1,0,1,1,1,H,FOOTWEAR,BATAINDIA.NS
BAYERCROP,4346.57,6050,16,37.4,0,V40N,ATH,AR,1,1,1,1,1,M,CHEMICALS,BAYERCROP.NS
BERGEPAINT,697.63,,72,72.9,1,V40,ATH,AR,1,1,0,1,1,M,PAINTS,BERGEPAINT.NS
BHARTIARTL,,,,,1,,,NA,1,0,0,1,1,H,TELECOM,BHARTIARTL.NS
BIOCON,,,,,1,,,NA,1,0,0,1,1,M,,BIOCON.NS
BOSCHLTD,,,,,1,V40N,,NA,1,0,0,1,,L,,BOSCHLTD.NS
BPCL,,,,,1,,,NA,1,1,0,1,,L,,BPCL.NS
BRITANNIA,,,,54.9,1,,,NA,1,1,0,1,1,H,FMCG,BRITANNIA.NS
CADILAHC,,,,,1,,,NA,0,0,0,1,,L,,CADILAHC.NS
CAMS,2324.85,3450,13,43.4,,VR,ATH,AR,1,1,1,1,1,M,MISC,CAMS.NS
CANBK,,,,8.8,0,,,NA,1,1,0,1,1,H,BANKS,CANBK.NS
CAPLIPOINT,,,,,0,V40N,,NA,1,1,1,1,,M,,CAPLIPOINT.NS
CDSL,1082.25,1600,70,36.3,0,VR,ATH,AR,1,0,1,1,1,L,MISC,CDSL.NS
CERA,,,,40.2,0,V40N,,NA,1,1,1,1,1,H,CERAMICS,CERA.NS
CHOLAFIN,,,,,1,,,NA,1,1,0,1,,L,,CHOLAFIN.NS
CIPLA,,,,,1,,,NA,1,1,0,1,1,M,PHARMA,CIPLA.NS
CLEAN,1365.11,2500,39,77.5,0,VR,2T3Y,AR,1,1,1,1,1,L,CHEMICALS,CLEAN.NS
COALINDIA,,,,,1,,,NA,1,1,0,1,,L,,CLEAN.NS
COLPAL,,2100,,41.8,1,V40,BTT,NA,1,1,0,1,1,H,FMCG,COLPAL.NS
DABUR,,,,53.6,1,V40,,NA,1,1,0,1,1,H,FMCG,DABUR.NS
DEEPAKNTR,,,,28.4,0,,,NA,1,0,0,,0,L,CHEMICALS,DEEPAKNTR.NS
DIVISLAB,3671,,,45.2,1,,,NA,1,0,0,,0,L,PHARMA,DIVISLAB.NS
DIXON,,,,,0,V40N,,NA,1,1,1,,,M,,DIXON.NS
DLF,,,,,1,,,NA,1,0,0,,,L,,DLF.NS
DMART,3659.46,5100,14,160.1,1,AR,ATH,AR,1,1,1,1,1,M,FMCG,DMART.NS
DRREDDY,,,,,1,,,NA,1,1,0,,1,H,PHARMA,DRREDDY.NS
EICHERMOT,3260.2,3700,15,44.7,1,V40N,ATH,AR,1,1,0,1,1,H,AUTO,EICHERMOT.NS
EMAMILTD,422.59,615,72,49.6,0,V200,ATH,AR,1,1,1,1,1,M,FMCG,EMAMILTD.NS
EQUITAS,,,,,0,,,NA,1,0,1,,,M,,EQUITAS.NS
EQUITASBNK,,,,17.4,0,V40N,,NA,1,1,1,,1,M,BANKS,EQUITASBNK.NS
ERIS,,,,,0,V40N,,NA,1,0,1,,,M,,ERIS.NS
FEDERALBNK,,,,11,0,,,NA,1,1,0,,1,M,BANKS,FEDERALBNK.NS
FINCABLES,,,,,0,V40N,,NA,1,0,1,,,M,,FINCABLES.NS
FINEORG,4697.43,7000,11,41.7,0,V40N,ATH,AR,1,0,1,1,1,M,CHEMICALS,FINEORG.NS
GAIL,,,,,1,,,NA,1,0,0,P,,L,,GAIL.NS
GICRE,174.18,370,231,14.9,0,VR,2T3Y,AR,1,0,1,1,1,L,INSURANCE,GICRE.NS
GILLETTE,4475.85,7750,21,61.2,0,V40,ATH,AR,0,0,1,1,1,H,FMCG,GILLETTE.NS
GLAND,1225.87,3900,55,45.2,1,VR,2T3Y,AR,1,0,1,1,1,L,PHARMA,GLAND.NS
GLAXO,,,,,0,V40,,NA,1,0,1,,,M,,GLAXO.NS
GODREJCP,,,,,1,,,NA,1,1,0,,0,L,FMCG,GODREJCP.NS
GODREJIND,,,,39.5,0,,,NA,1,1,0,,0,L,,GODREJIND.NS
GRASIM,,,,,1,,,NA,1,1,0,,,L,,GRASIM.NS
HAVELLS,,,,63.7,1,V40,,NA,1,0,0,,1,H,ELECTRICAL,HAVELLS.NS
HCLTECH,,,,16.3,1,V40,,NA,1,1,0,,1,H,IT,HCLTECH.NS
HDFCAMC,1973.85,3250,50,38.5,1,V40,ATH,AR,1,0,1,1,1,H,FINANCE,HDFCAMC.NS
HDFCBANK,1638.32,2050,60,22,1,V40,BTT,AR,1,1,0,1,1,H,BANKS,HDFCBANK.NS
HDFCLIFE,544,,,89.3,1,V40,,NA,1,0,0,,1,H,INSURANCE,HDFCLIFE.NS
HEROMOTOCO,,,,,1,,,NA,1,0,0,,1,M,AUTO,HEROMOTOCO.NS
HINDALCO,,,,10.4,1,,,NA,1,0,0,,0,L,,HINDALCO.NS
HINDPETRO,,,,,1,,,NA,1,0,0,P,,L,,HINDPETRO.NS
HINDUNILVR,,,,66.2,1,V40,,NA,1,1,0,,1,H,FMCG,HINDUNILVR.NS
HONAUT,,,,,0,V40N,,NA,1,0,1,,,M,,HONAUT.NS
IBREALEST,,,,11.3,0,,,NA,1,0,0,,0,L,REALTY,IBREALEST.NS
ICICIBANK,,,,24.2,1,V40,,NA,1,1,0,,1,H,BANKS,ICICIBANK.NS
ICICIGI,1177.58,1600,84,46.2,1,V40,ATH,AR,1,1,1,1,1,H,INSURANCE,ICICIGI.NS
ICICIPRULI,443,,,60.9,1,V40,,NA,1,0,0,,1,M,INSURANCE,ICICIPRULI.NS
IEX,127.3,,394,47.6,0,VR,ATH,AR,1,1,,,,M,MISC,IEX.NS
IGL,,,,,1,,,NA,1,1,0,P,,L,,IGL.NS
INDIANB,,,,7.4,0,,,NA,1,1,0,,1,H,,INDIANB.NS
INDIGO,,,,30.7,1,,,NA,1,1,0,,1,L,AIRLINES,INDIGO.NS
INDIGOPNTS,1407.73,2600,124,104.9,0,V40N,2T3Y,AR,1,1,1,1,1,M,PAINTS,INDIGOPNTS.NS
INDUSINDBK,1301.47,1800,36,22.8,1,VR,ATH,AR,1,1,1,1,1,M,BANKS,INDUSINDBK.NS
INDUSTOWER,,,,,1,,,NA,1,0,0,,1,H,,INDUSTOWER.NS
