Scrip Name,Symbol,Date,Type,Qty,Price,Value
5Paisa Capital,5PAISA,23-May-23,Buy,97,311.17,"30,183.49"
5Paisa Capital,5PAISA,02-Jun-23,Buy,55,371.75,"20,446.25"
5Paisa Capital,5PAISA,12-Jun-23,Buy,76,375,"28,500.00"
Aavas Financiers,AAVAS,25-May-23,Buy,15,"1,405","21,075.00"
Aavas Financiers,AAVAS,12-Jun-23,Buy,8,"1,363.59","10,908.72"
Aavas Financiers,AAVAS,19-Jul-23,Buy,14,"1,557.95","21,811.30"
Amara Raja Batt.,AMARAJABAT,24-May-23,Buy,48,626.83,"30,087.84"
Amara Raja Batt.,AMARAJABAT,12-Jun-23,Buy,24,622.07,"14,929.68"
Ambuja Cements Ltd.,AMBUJACEM,09-May-23,Buy,120,408.85,"49,062.00"
Ambuja Cements Ltd.,AMBUJACEM,12-Jun-23,Buy,60,454.35,"27,261.00"
Asian Paints Ltd.,ASIANPAINT,19-Apr-23,Buy,10,"2,827.88","28,278.80"
Asian Paints Ltd.,ASIANPAINT,02-May-23,Buy,7,"2,897.95","20,285.65"
Asian Paints Ltd.,ASIANPAINT,09-May-23,Buy,16,"3,057.70","48,923.20"
Asian Paints Ltd.,ASIANPAINT,22-May-23,Sell,16,"3,080.74","49,291.84"
Asian Paints Ltd.,ASIANPAINT,12-Jun-23,Buy,8,"3,182.80","25,462.40"
Asian Paints Ltd.,ASIANPAINT,18-Jul-23,Sell,25,"3,511.92","87,798.00"
Bajaj Finserv Ltd.,BAJAJFINSV,29-May-23,Buy,35,"1,449.21","50,722.35"
Bajaj Finserv Ltd.,BAJAJFINSV,12-Jun-23,Buy,17,"1,466.70","24,933.90"
Bajaj HindusthanSuga,BAJAJHIND,18-Jul-23,Buy,1750,17.15,"30,012.50"
Bajaj Finance L,BAJFINANCE,19-Apr-23,Buy,5,"5,928.85","29,644.25"
Bajaj Finance L,BAJFINANCE,02-May-23,Buy,3,"6,237","18,711.00"
Bajaj Finance L,BAJFINANCE,09-May-23,Buy,8,"6,686.05","53,488.40"
